N,p,Buffer Size,Queue type,Avg PD,Std Dev PD,Avg link utilization
5,1.000000,2,ISLIP,3.117911,4.568220,0.641160
10,1.000000,2,ISLIP,3.271281,7.097398,0.610880
15,1.000000,2,ISLIP,3.307460,8.787964,0.603633
20,1.000000,2,ISLIP,3.332146,10.380873,0.599435
25,1.000000,2,ISLIP,3.351120,11.855412,0.595944
30,1.000000,2,ISLIP,3.348455,12.960809,0.595380
35,1.000000,2,ISLIP,3.358701,13.872598,0.593889
40,1.000000,2,ISLIP,3.363584,14.699364,0.592745
5,1.000000,3,ISLIP,4.686126,6.109665,0.639620
10,1.000000,3,ISLIP,4.904843,10.712049,0.610360
15,1.000000,3,ISLIP,4.942194,13.186504,0.605707
20,1.000000,3,ISLIP,4.995911,14.741593,0.599190
25,1.000000,3,ISLIP,4.997954,16.265890,0.598288
30,1.000000,3,ISLIP,5.036283,18.180710,0.593670
35,1.000000,3,ISLIP,5.038454,19.793276,0.593206
40,1.000000,3,ISLIP,5.035198,21.409681,0.593207
5,1.000000,4,ISLIP,6.232886,7.834835,0.641000
10,1.000000,4,ISLIP,6.517632,12.387446,0.612540
15,1.000000,4,ISLIP,6.631380,15.767696,0.601667
20,1.000000,4,ISLIP,6.656017,18.700703,0.598780
25,1.000000,4,ISLIP,6.658644,20.598505,0.598612
30,1.000000,4,ISLIP,6.680976,22.560919,0.595807
35,1.000000,4,ISLIP,6.689606,24.632463,0.594609
40,1.000000,4,ISLIP,6.694593,25.877140,0.593805
