N,p,Buffer Size,Queue type,Avg PD,Std Dev PD,Avg link utilization
5,1.000000,2,KOUQ,1.967976,1.196488,0.736920
10,1.000000,2,KOUQ,2.074413,1.370065,0.718930
15,1.000000,2,KOUQ,2.101372,1.422653,0.711060
20,1.000000,2,KOUQ,2.118381,1.436214,0.708685
25,1.000000,2,KOUQ,2.111019,1.413136,0.708176
30,1.000000,2,KOUQ,2.128807,1.450581,0.706590
35,1.000000,2,KOUQ,2.143330,1.462012,0.704751
40,1.000000,2,KOUQ,2.142493,1.478962,0.704970
5,1.000000,3,KOUQ,2.377663,1.531283,0.794480
10,1.000000,3,KOUQ,2.552665,1.923355,0.777720
15,1.000000,3,KOUQ,2.538002,1.833483,0.774133
20,1.000000,3,KOUQ,2.542147,1.818572,0.772210
25,1.000000,3,KOUQ,2.600313,1.952640,0.770156
30,1.000000,3,KOUQ,2.571242,1.876627,0.769530
35,1.000000,3,KOUQ,2.590960,1.924245,0.767729
40,1.000000,3,KOUQ,2.606791,1.949055,0.767145
5,1.000000,4,KOUQ,2.791583,1.884737,0.827580
10,1.000000,4,KOUQ,2.931498,2.175004,0.812960
15,1.000000,4,KOUQ,2.961717,2.258918,0.809260
20,1.000000,4,KOUQ,2.974684,2.283190,0.809195
25,1.000000,4,KOUQ,2.997860,2.353321,0.806952
30,1.000000,4,KOUQ,2.976042,2.268771,0.806507
35,1.000000,4,KOUQ,3.004167,2.334227,0.805549
40,1.000000,4,KOUQ,2.992583,2.301106,0.805355
