N,p,Buffer Size,Queue type,Avg PD,Std Dev PD,Avg link utilization
5,0.500000,2,KOUQ,1.335195,0.599116,0.472940
10,0.500000,2,KOUQ,1.370366,0.654900,0.467250
15,0.500000,2,KOUQ,1.391297,0.688922,0.462400
20,0.500000,2,KOUQ,1.391421,0.678634,0.461845
25,0.500000,2,KOUQ,1.403328,0.698396,0.461988
30,0.500000,2,KOUQ,1.406056,0.708636,0.460200
35,0.500000,2,KOUQ,1.405551,0.710121,0.459474
40,0.500000,2,KOUQ,1.407609,0.706576,0.458645
5,0.500000,3,KOUQ,1.368065,0.631931,0.491820
10,0.500000,3,KOUQ,1.423522,0.713245,0.487960
15,0.500000,3,KOUQ,1.442176,0.746813,0.490013
20,0.500000,3,KOUQ,1.447793,0.752255,0.487970
25,0.500000,3,KOUQ,1.450960,0.754238,0.489276
30,0.500000,3,KOUQ,1.461732,0.770295,0.489400
35,0.500000,3,KOUQ,1.459754,0.763093,0.489371
40,0.500000,3,KOUQ,1.457381,0.769150,0.487780
5,0.500000,4,KOUQ,1.393548,0.681913,0.498440
10,0.500000,4,KOUQ,1.437028,0.723662,0.494060
15,0.500000,4,KOUQ,1.457375,0.762176,0.494373
20,0.500000,4,KOUQ,1.462497,0.761696,0.496370
25,0.500000,4,KOUQ,1.468837,0.779953,0.495604
30,0.500000,4,KOUQ,1.478408,0.792299,0.496767
35,0.500000,4,KOUQ,1.472113,0.784764,0.496349
40,0.500000,4,KOUQ,1.475432,0.787405,0.495818
