N,p,Buffer Size,Queue type,Avg PD,Std Dev PD,Avg link utilization
5,1.000000,2,KOUQ,1.990077,1.242463,0.733780
10,1.000000,2,KOUQ,2.070171,1.372563,0.717850
15,1.000000,2,KOUQ,2.092555,1.391186,0.712280
20,1.000000,2,KOUQ,2.105519,1.392707,0.708515
25,1.000000,2,KOUQ,2.133986,1.479917,0.707404
30,1.000000,2,KOUQ,2.140362,1.483888,0.706330
35,1.000000,2,KOUQ,2.151485,1.493729,0.704566
40,1.000000,2,KOUQ,2.138837,1.469709,0.704998
5,1.000000,3,KOUQ,2.393308,1.556841,0.795720
10,1.000000,3,KOUQ,2.533362,1.801317,0.775740
15,1.000000,3,KOUQ,2.518008,1.785852,0.775760
20,1.000000,3,KOUQ,2.569724,1.881309,0.771015
25,1.000000,3,KOUQ,2.572498,1.864733,0.768948
30,1.000000,3,KOUQ,2.586935,1.913662,0.768627
35,1.000000,3,KOUQ,2.564657,1.839701,0.768891
40,1.000000,3,KOUQ,2.581495,1.898217,0.768408
5,1.000000,4,KOUQ,2.774978,1.828953,0.827840
10,1.000000,4,KOUQ,2.934970,2.191794,0.812970
15,1.000000,4,KOUQ,2.965852,2.267175,0.809080
20,1.000000,4,KOUQ,2.999514,2.356998,0.808285
25,1.000000,4,KOUQ,2.964481,2.216085,0.808336
30,1.000000,4,KOUQ,3.003248,2.327169,0.806153
35,1.000000,4,KOUQ,3.002757,2.328112,0.805169
40,1.000000,4,KOUQ,2.982006,2.265154,0.805212
